bettor_archetype,defender_archetype,hand,avg_ev_bb,n_boards_used
Nit,Loose-passive,K6o,1.9653967473715444,8
Nit,Loose-passive,J9s,1.9058158184799106,8
Nit,Loose-passive,K3s,1.9297920474101455,8
Nit,Loose-passive,A3o,1.8774039871975823,8
Nit,Loose-passive,Q6s,1.8477933444687422,8
Nit,Loose-passive,QJo,1.8774039871975823,8
Nit,Loose-passive,33,2.011191344628293,8
Nit,Loose-passive,Q3s,1.8473138198901375,8
Nit,Loose-passive,J7s,1.8997018801027008,8
Nit,Loose-passive,Q6o,1.817463414871995,8
Nit,Loose-passive,Q7s,1.957364710679916,8
Nit,Loose-passive,J5s,2.011670869206898,8
Nit,Loose-passive,J6s,1.8642170612859532,8
Nit,Loose-passive,T9o,1.7757447765333862,8
Nit,Loose-passive,Q7o,1.8689523664996746,8
Nit,Loose-passive,A2o,2.100143153959465,8
Nit,Loose-passive,K5o,2.028933754036667,8
Nit,Loose-passive,K3o,2.0472755691682964,8
Nit,Loose-passive,Q8o,1.7575228425464078,8
Nit,Loose-passive,T7s,1.9614406695980557,8
Nit,Loose-passive,J8o,1.7779026371371076,8
Nit,Loose-passive,97s,1.8658953973110695,8
Nit,Loose-passive,T8s,1.8501909673617658,8
Nit,Loose-passive,Q4s,1.9114502322785158,8
Nit,Loose-passive,J4s,1.855945262305022,8
Nit,Loose-passive,J3s,1.796843857991993,8
Nit,Loose-passive,96s,1.8638574178519995,8
Nit,Loose-passive,J7o,1.8088319724571105,8
Nit,Loose-passive,Q5o,1.8983831875115378,8
Nit,Loose-passive,J4o,1.7058540692017516,8
Nit,Loose-passive,98s,1.8671541493299069,8
Nit,Loose-passive,T9s,1.923498287315959,8
Nit,Loose-passive,K2o,2.0247379139738757,8
Nit,Loose-passive,Q4o,1.7575228425464078,8
Nit,Loose-passive,22,1.9373445595231695,8
Nit,Loose-passive,98o,1.7749655490931537,8
