player,n_events,raw_rate,shrunk_rate
+Qkfgh4SDWkHUWkW9PLn2w,2,1.0,0.7686497168226745
+QrWKFbXhiJfUuK8aidNNQ,3,0.6666666666666666,0.7453573011613813
+QwfWrv41JM1vMpxUrTxWA,1,1.0,0.7611868044621156
+R+8bL9V9euYYjHYpKFZcw,4,1.0,0.7822585570095759
+R4ymqdNC8iyaNqEnKnQFA,1,1.0,0.7611868044621156
+R6ruRNulPwnsURALz9DUA,1,1.0,0.7611868044621156
+R9kPzy5QxI2YrrqK/sxZg,1,1.0,0.7611868044621156
+RCL6cUkbNZGRLCTu3/bHQ,1,1.0,0.7611868044621156
+RDf7SmUjY2kK0PzdBEYqg,1,0.0,0.7289287399459865
+RDsoi2fmRLbob41z/gMeg,3,0.6666666666666666,0.7453573011613813
+RHB4FTZDuoej2ECEAzp+A,1,1.0,0.7611868044621156
+RJ2EWuC6xOgFGhfWG7o5g,1,1.0,0.7611868044621156
+RJXNWhtg+Rdbzr8iLUWfw,1,0.0,0.7289287399459865
+RLVyqnrRKe8CYL8+S25FQ,1,1.0,0.7611868044621156
+RUQie4CNU3NZHvg0gbbvA,1,1.0,0.7611868044621156
+RXXXUvgDS8tVV4lzwFczQ,1,0.0,0.7289287399459865
+RYnRM4TfzYQNt7HI1FQ9w,1,1.0,0.7611868044621156
+Rd4NyiE7bntUjcdRSGjng,7,0.42857142857142855,0.6918051604952861
+Rg2edtYFukBOR87ACI4fg,2,1.0,0.7686497168226745
+RthOAlNH6MNKxNWSA0PJg,1,1.0,0.7611868044621156
+S3jEolwRA5lGtBEThZMug,13,0.6153846153846154,0.7115532776354787
+S4d5EWc0smh4pE6eVRtwA,3,0.6666666666666666,0.7453573011613813
+S9xXv11vtktoESz3mGCxw,3,0.3333333333333333,0.715054270858351
+SJF/vut23pYY0qOkTaeWQ,3,1.0,0.7756603314644116
+SRm3cNNHt7f8IpyMjzo/A,1,1.0,0.7611868044621156
+SSbcJgQP+v/L17sqfMIMQ,4,0.75,0.7528467923036937
+SchpfLTtMsT35Ej7SdZWQ,1,1.0,0.7611868044621156
+ShGNslAJ4VmvUI4NDJ0Bw,2,0.5,0.7373997168226745
+SlC5EdqdEjRHFepKVCdJA,3,1.0,0.7756603314644116
+SojEgbax9xm8H5heOHa4w,1,0.0,0.7289287399459865
+SrYGN6IV3C6hwJZ7hWMRA,2,1.0,0.7686497168226745
+SvnKs7DB3nqCuYvy2SgRg,1,0.0,0.7289287399459865
+T4nHm2fd5hJJCa7Xw8Ywg,17,0.7058823529411765,0.7361019348579911
+T6PiyE4v6c0pBSBoTO5OQ,3,1.0,0.7756603314644116
+T6nE0l0Fp4m7WKYgrMm2A,4,1.0,0.7822585570095759
+T9afhOBFS/TdZ61erivGA,1,0.0,0.7289287399459865
+TAzR0ZTILUBuyqnOz8ZhQ,31,0.7741935483870968,0.7638818186610752
+THunFHkTTo+JZq9c/pzCw,5,1.0,0.7884797410950166
+TMG/MBWpiEnc9t7i07eTA,1,1.0,0.7611868044621156
+TRqRIEX2oCZvHVYuhfI2A,1,1.0,0.7611868044621156
+TuUCnHBp0n/TyN3pHgZNQ,1,1.0,0.7611868044621156
+Tudg7OpbyecdBaDKvZDUQ,1,1.0,0.7611868044621156
